1	1	5.599415	63	0.081461	0.055565	12.275744
1	2	5.557510	66	0.077671	0.019574	25.749634
1	4	5.583350	61	0.084423	0.032469	47.380614
1	8	5.505935	66	0.076930	0.012493	103.990847
1	16	6.030717	47	0.101884	0.171371	157.041141
1	32	6.388328	54	0.086051	0.078633	371.872634
1	64	6.161712	68	0.074942	0.008906	853.993954
1	128	5.658216	47	0.108416	0.104396	1180.635794
1	256	5.622091	55	0.092854	0.028115	2757.005566
1	512	5.568068	55	0.092624	0.041205	5527.698605
1	1024	5.706907	48	0.107372	0.069003	9536.927794
1	2048	5.782740	58	0.088376	0.014449	23173.649691
1	4096	5.962167	56	0.096369	0.033703	42503.246467
1	8192	5.791161	47	0.110002	0.050522	74471.387321
1	16384	5.882258	42	0.109535	0.039316	149577.446648
1	32768	5.951410	48	0.106505	0.057213	307667.102599
1	65536	6.161407	38	0.135063	0.127150	485225.237762
1	131072	6.169801	38	0.138454	0.039524	946679.790147
1	262144	6.423702	30	0.168335	0.072413	1557278.854756
1	524288	8.406671	24	0.245773	0.102798	2133223.869188
1	1048576	7.296721	17	0.326573	0.125416	3210849.072115
1	2097152	8.195855	13	0.448018	0.162677	4680954.410149
1	4194304	9.229813	11	0.532029	0.065396	7883597.637225
1	8388608	14.422283	4	1.692129	0.092903	4957427.594823
1	16777216	16.125260	5	1.600109	0.551869	10485048.426946
1	33554432	35.492976	3	7.234642	3.345013	4638022.732746
1	67108864	79.848870	2	14.515829	7.485931	4623150.695755
