# bytes_used bytes_wasted bytes_freed s3_get s3_put
67358975	1069199	9410	26353439	157
67358983	12789943	0	12143384	16840128
67358983	36592832	18993913	30128745	25259885
67358983	51925625	31680172	24777202	33688007
67358983	63050471	42848645	20596601	16840449
67358983	45057387	26381295	38455006	33679642
67358983	57715658	41202181	30594100	25260206
67358983	50348573	34878155	18985720	16840128
67358983	37645375	22200052	21088853	16848814
67358983	32320159	21131934	34740350	33679642
67358983	44901933	39023442	8445458	8428736
67358983	14324563	12711535	8428728	8420371
67358983	10042370	10023208	8971	8979
67358983	37112	26315	8971	165
