0.480001	1
0.482716	2
0.492883	3
0.496570	4
0.503112	5
0.503467	6
0.508914	7
0.511720	8
0.515805	9
0.534276	10
0.536384	11
0.536638	12
0.541766	13
0.542662	14
0.546021	15
0.551714	16
0.553925	17
0.554129	18
0.562453	19
0.563337	20
0.569507	21
0.574251	22
0.574472	23
0.575643	24
0.576192	25
0.577031	26
0.580595	27
0.580729	28
0.582319	29
0.583317	30
0.590730	31
0.600255	32
0.613829	33
0.621110	34
0.623255	35
0.633959	36
0.658147	37
0.715391	38
0.724452	39
0.733508	40
0.749275	41
0.755967	42
0.763497	43
0.864642	44
0.881960	45
1.039886	46
1.058287	47
1.092262	48
1.137048	49
3.377304	50
