0.352564	1
0.355583	2
0.387133	3
0.411746	4
0.420441	5
0.427886	6
0.430660	7
0.433188	8
0.446063	9
0.451374	10
0.459913	11
0.494536	12
0.495600	13
0.508426	14
0.541106	15
0.545735	16
0.564988	17
0.566355	18
0.584041	19
0.660245	20
0.670523	21
0.678975	22
0.710695	23
0.722698	24
0.742232	25
0.756707	26
0.760219	27
0.811378	28
0.819761	29
0.854134	30
0.874385	31
0.908241	32
0.938006	33
0.966720	34
1.040874	35
1.075312	36
1.170519	37
1.187432	38
1.243601	39
1.251721	40
1.417437	41
1.433387	42
1.437563	43
1.441603	44
1.755416	45
2.405115	46
2.831448	47
5.040258	48
5.386386	49
6.796262	50
